"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","model","approach"
"Stat1","Stat1","18/37","53/169",0.0101698452116889,0.0658837537852139,0.0495366569813639,"Adar/Bst2/H2-T23/Ifi35/Ifih1/Igtp/Il18rap/Irf9/Mapre2/Oasl1/Oasl2/Sco1/Stat2/Tap1/Ttc27/Ube2f/Usp18/Zbp1",18,"Ind","linear model"
"Stat4","Stat4","29/37","106/169",0.0188239296529183,0.0658837537852139,0.0495366569813639,"2310004I24Rik/Adar/Amica1/C030048B08Rik/Fgl2/Gbp5/Hopx/Ifi35/Ifih1/Igtp/Il18rap/Irf9/Klrk1/Mapre2/Ms4a6b/Mtap6/Nrp1/Prm1/Sco1/Sema3b/Sema4b/Serpina3f/Slc17a6/Stat2/Tap1/Tapbpl/Ube2l6/Wipi2/Zbp1",29,"Ind","linear model"
"Gata_Th1","Gata_Th1","6/37","21/169",0.295450147862903,0.689383678346774,0.518333592741935,"Hopx/Igtp/Il18rap/Klrk1/Ms4a6b/Usp18",6,"Ind","linear model"
"Tbet_pos","Tbet_pos","7/37","32/169",0.58419542135374,0.861978029318348,0.648103781442367,"Amica1/Hopx/Il18rap/Klrk1/Mx1/Serpina3f/Usp18",7,"Ind","linear model"
"Stat6","Stat6","17/37","79/169",0.615698592370248,0.861978029318348,0.648103781442367,"2310004I24Rik/Adar/Amica1/Ifi35/Igtp/Il18rap/Irf9/Mapre2/Ms4a6b/Mtap6/Sco1/Sema4b/Slc17a6/Stat2/Ttc27/Ube2f/Zbp1",17,"Ind","linear model"
"Gata_Th2","Gata_Th2","1/37","11/169",0.940025694752267,0.943920247778576,0.709714472013967,"Slc17a6",1,"Ind","linear model"
"Tbet_large","Tbet_large","9/37","57/169",0.943920247778576,0.943920247778576,0.709714472013967,"Fgl2/Hopx/Igtp/Klrk1/Mapre2/Oasl2/Prm1/Slc17a6/Ttc27",9,"Ind","linear model"
"Stat4","Stat4","16/21","50/78",0.138512073284828,0.831072439708967,0.831072439708967,"Mtap6/Ifih1/Ube2l6/Nrp1/Ifi35/Sema4b/Klrk1/Zbp1/Sco1/Gbp3/Tap1/Il18rap/Igfbp7/Adar/Gbp5/Tal2",16,"Ind","hclust"
"Stat1","Stat1","10/21","34/78",0.427475620029176,0.997644918498186,0.997644918498186,"Ifih1/Oasl2/Ifi35/Zbp1/Sco1/Gbp3/Tap1/Hsh2d/Il18rap/Adar",10,"Ind","hclust"
"Stat6","Stat6","7/21","29/78",0.752955566478026,0.997644918498186,0.997644918498186,"Mtap6/Ifi35/Sema4b/Zbp1/Sco1/Il18rap/Adar",7,"Ind","hclust"
"Gata_Th1","Gata_Th1","3/21","14/78",0.797174217578467,0.997644918498186,0.997644918498186,"Klrk1/Gbp3/Il18rap",3,"Ind","hclust"
"Tbet_pos","Tbet_pos","2/21","16/78",0.969699980496615,0.997644918498186,0.997644918498186,"Klrk1/Il18rap",2,"Ind","hclust"
"Tbet_large","Tbet_large","3/21","28/78",0.997644918498186,0.997644918498186,0.997644918498186,"Oasl2/Klrk1/Marcks",3,"Ind","hclust"
"Tbet_pos","Tbet_pos","13/33","32/169",0.00172043796290498,0.0120430657403349,0.00905493664686833,"BC094916/Ctsw/Furin/Gpr114/Ifitm3/Ifng/Il18r1/Klrd1/Nod1/P2ry14/Pik3ap1/Pld4/Zbtb32",13,"Superpos","linear model"
"Gata_Th1","Gata_Th1","9/33","21/169",0.00765552848564635,0.0267943496997622,0.0201461275938062,"BC094916/Furin/Gbp3/Gnaq/Ifitm3/Ifng/Klrd1/Ms4a6d/Nod1",9,"Superpos","linear model"
"Tbet_large","Tbet_large","14/33","57/169",0.165124286625001,0.385290002125002,0.289691730921054,"Aqp9/B930041F14Rik/Bzrap1/Ccr5/Furin/Gnaq/Ifitm3/Ifng/Il18r1/Lrrk1/Marcks/Myo6/Nod1/P2ry14",14,"Superpos","linear model"
